日期,高锰酸钾指数,化学需氧量,五日生化需氧量,总有机碳,氨氮,色度,电导率,溶解性总固体,浊度,硝酸盐氮,叶绿素a,氟化物
1/1/2021 0:00,2.81,0,1.38,1.7,0.0094,8,519.1,337.3835,3.5,0.478,0,0.311
1/1/2021 1:00,3.37,0,1.525,2.04,0.0113,9.6,582.95,378.896,4.2,0.5315,0,0.348
1/1/2021 2:00,3.93,0,1.67,2.38,0.0131,11.2,646.15,419.9695,4.9,0.5845,0,0.397
1/1/2021 3:00,4.49,0,1.815,2.72,0.015,12.8,709.25,460.9775,5.6,0.6375,0,0.4285
1/1/2021 4:00,5.05,0,1.96,3.06,0.017,14.4,772.2,501.9025,6.3,0.69,0,0.463
1/1/2021 5:00,5.54,0,2.105,3.35,0.0188,16,776.65,504.8035,7,0.742,0,0.488
1/1/2021 6:00,5.54,0,2.25,3.35,0.0188,16,840.05,546.022,7,0.7955,0,0.515
1/1/2021 7:00,5.54,0,2.395,3.35,0.0188,16,903.35,587.177,7,0.849,0,0.556
1/1/2021 8:00,5.54,0,2.545,3.35,0.0188,16,966.45,628.1895,7,0.901,0,0.5835
1/1/2021 9:00,5.54,0,2.69,3.35,0.0188,16,1029.3,669.0285,7,0.954,0,0.6245
1/1/2021 10:00,5.53,0.24,2.835,3.35,0.0189,16,1034.1,672.1405,7,1.007,0,0.6705
1/1/2021 11:00,5.53,0.47,2.835,3.35,0.0189,16,1033.05,671.4805,7,1.0075,0,0.6765
1/1/2021 12:00,5.53,0.72,2.835,3.35,0.019,16,1032,670.7795,7,1.007,0,0.6825
1/1/2021 13:00,5.53,0.96,2.835,3.35,0.0191,16,1031,670.128,7,1.007,0,0.6745
1/1/2021 14:00,5.53,0.96,2.835,3.35,0.0191,16,1029.95,669.4495,7,1.0065,0,0.689
1/1/2021 15:00,5.62,0.96,2.84,3.41,0.0192,16,1029.9,669.413,7.1,1.007,0,0.6985
1/1/2021 16:00,5.62,0.96,2.84,3.41,0.0192,16,1028.95,668.805,7.1,1.0065,0,0.7015
1/1/2021 17:00,5.62,0.96,2.84,3.41,0.0193,16,1028,668.2045,7.1,1.006,0,0.7145
1/1/2021 18:00,5.62,0.96,2.84,3.41,0.0193,16,1027.1,667.613,7.1,1.006,0,0.722
1/1/2021 19:00,5.62,0.96,2.84,3.41,0.0193,16,1026.15,666.9955,7.1,1.006,0,0.7375
1/1/2021 20:00,5.64,0.72,2.845,3.42,0.0192,16,1026.1,666.959,7.2,1.01,0,0.7395
1/1/2021 21:00,5.64,0.49,2.845,3.42,0.0192,16,1025.1,666.3065,7.2,1.01,0,0.739
1/1/2021 22:00,5.64,0.24,2.845,3.42,0.0192,16,1024.5,665.926,7.2,1.009,0,0.7335
1/1/2021 23:00,5.64,0,2.845,3.42,0.0191,16,1023.85,665.504,7.2,1.008,0,0.735
1/2/2021 0:00,5.64,0,2.845,3.42,0.0191,16,1023.3,665.1255,7.2,1.0085,0,0.749
